onset	duration	sample	value	event_code
0	n/a	0	break cnt	break cnt
2.078	n/a	1039	resting_start	90
169.838	n/a	84919	instructed_toOpenEyes	20
189.84	n/a	94920	instructed_toCloseEyes	30
229.83	n/a	114915	instructed_toOpenEyes	20
249.83	n/a	124915	instructed_toCloseEyes	30
289.832	n/a	144916	instructed_toOpenEyes	20
309.832	n/a	154916	instructed_toCloseEyes	30
349.834	n/a	174917	instructed_toOpenEyes	20
369.834	n/a	184917	instructed_toCloseEyes	30
409.836	n/a	204918	instructed_toOpenEyes	20
429.836	n/a	214918	instructed_toCloseEyes	30
469.838	n/a	234919	instructed_toOpenEyes	20
474.375	n/a	237187.5	boundary	boundary
